,amplitude_1,frequency_1,amplitude_2,frequency_2,amplitude_3,frequency_3,amplitude_4,frequency_4,amplitude_5,frequency_5,name,label,pred
10,0.5970483937936988,0.11058320476360277,0.19144723986665274,0.21781540332224786,0.08762327168953236,0.3317496142908083,0.047447600906627314,0.05696710548428021,0.04050401332925939,0.43898181284945337,Normal_2_range50-flw1-rtt,N,N
11,0.6170457180726924,0.10424448924117848,0.15548084059136932,0.2051262530229641,0.08496236442646522,0.299282565885964,0.047480437768548,0.15132264567267845,0.03900804477587656,0.40688978058653535,Normal_2_range50-flw2-rtt,N,N
21,0.5664369487407124,0.12999999999999998,0.16787102744775173,0.25666666666666665,0.10232405463593529,0.39,0.05059087008964736,0.5166666666666666,0.034571831500884435,0.18333333333333332,Normal_3_range50-flw0-rtt,N,N
22,0.7810483224049551,0.04365084521635257,0.130778861260415,0.09065944775703995,0.05338070390041137,0.13766805029772733,0.031134380599050986,0.19139216748708435,0.02182838931116884,0.2316852553791021,Normal_3_range50-flw1-rtt,N,N
23,0.7306339924948672,0.057243330251285085,0.23575307644528945,0.11111940578190635,0.06347764290739995,0.15152646242987228,0.03627277782041779,0.2794821418150978,0.02419612075089207,0.3266237079043914,Normal_3_range50-flw2-rtt,N,N
15,0.7803203543239953,0.04333333333333333,0.12384256791815923,0.08999999999999998,0.04680571457340661,0.13666666666666666,0.03148370557115853,0.18999999999999997,0.020529606606139054,0.23666666666666664,Normal_4_range50-flw0-rtt,N,N
16,0.6192919954090449,0.10389511848115525,0.158518513582218,0.2111416923971865,0.08220242020656497,0.3049824445737138,0.04700216056934845,0.15081549456941892,0.041200093348502276,0.4055261076199931,Normal_4_range50-flw1-rtt,N,N
17,0.605740091384786,0.10424448924117848,0.16049686168965843,0.2051262530229641,0.09227729462638029,0.299282565885964,0.05758074569910505,0.15132264567267845,0.03952890589240305,0.4001643296677496,Normal_4_range50-flw2-rtt,N,N
3,0.10700017930156976,0.5366666666666666,0.09638821582307107,0.18333333333333332,0.08639811421298535,0.12999999999999998,0.0855760910833344,0.04333333333333333,0.056943467160327145,0.6033333333333333,TCP_Congestion_0_range50-flw0-rtt,T,T
4,0.19342868142914169,0.5462140114080984,0.07324738533303272,0.20441137850241722,0.056095536591616695,0.49259791212877596,0.04645106780774483,0.15749729163301,0.04392121800574711,0.29823955224123166,TCP_Congestion_0_range50-flw1-rtt,T,T
5,0.24999286885854316,0.548714706493345,0.06628633242822499,0.5015858359969841,0.048147862032472566,0.16495104673726324,0.045311330210558436,0.36019922450790137,0.04250676941643604,1.195053501872009,TCP_Congestion_0_range50-flw2-rtt,T,T
24,0.12432781482746624,0.36333333333333334,0.09723782851016638,0.2966666666666667,0.0893366181195229,0.7566666666666666,0.07675545043716345,0.7166666666666666,0.03950801334082766,0.6499999999999999,TCP_Congestion_1_range50-flw0-rtt,T,T
25,0.10860771139019025,0.3116018098771273,0.08291077941224567,0.21778621120444383,0.06863242612100919,0.747174232286015,0.05729038141871142,0.7069675471405792,0.038984663361187694,0.39201518016799886,TCP_Congestion_1_range50-flw1-rtt,T,T
26,0.13136642773835014,0.7513532022791406,0.11022434146534213,0.7041830460822439,0.09455801313023393,0.3133446090222425,0.05668425602498416,0.5963655462036228,0.05652700480525072,0.03032367184086218,TCP_Congestion_1_range50-flw2-rtt,T,T
12,0.2749325497799579,0.33666666666666667,0.1899357062144465,0.26333333333333336,0.09953345426616225,0.13666666666666666,0.06923538597197251,0.19666666666666666,0.05263123964791971,0.06999999999999999,TCP_Congestion_9_range50-flw0-rtt,T,L
13,0.19250903686902798,0.3388831545310876,0.12079808663240706,0.13756642906707514,0.11748305603290476,0.19796144670627885,0.09407542110121779,0.07717141142787143,0.0855167656703722,0.2583564643454826,TCP_Congestion_9_range50-flw1-rtt,T,L
14,0.19641316185028582,0.33990959683591954,0.1314491059661784,0.1985610516170223,0.10673764353135667,0.1312522205604046,0.10573113911980288,0.25913899956797826,0.06313676081295666,0.07067427260944863,TCP_Congestion_9_range50-flw2-rtt,T,L
