,amplitude_1,frequency_1,amplitude_2,frequency_2,amplitude_3,frequency_3,amplitude_4,frequency_4,amplitude_5,frequency_5,name,label,pred
6,0.5656066761898765,0.10999999999999999,0.2154217819920793,0.22999999999999998,0.11382023037530228,0.3433333333333333,0.06193559030594844,0.45,0.034064853226393514,0.5633333333333332,Normal_3_range100-flw0-rtt,N,N
7,0.6039717878451101,0.050512222560354786,0.15924056262084604,0.09765696361668591,0.04675232997588344,0.17174155670520627,0.03983874138248816,4.791926180225657,0.03925334178404339,4.832335958273941,Normal_3_range100-flw1-rtt,N,N
8,0.5988103503941775,0.05067262333488493,0.07611462586373505,0.09796707178077754,0.04757270579685658,0.1722869193386088,0.04633111447151416,4.969295261707716,0.041077517589022186,4.928757163039808,Normal_3_range100-flw2-rtt,N,N
12,0.7492723637805765,0.03666666666666667,0.08679375786734767,0.08999999999999998,0.03318657704630082,0.15666666666666665,0.014526008146323275,0.26333333333333336,0.014482459336125509,0.19666666666666666,Normal_6_range100-flw0-rtt,N,N
13,0.5763260104956006,0.1239623056761033,0.20805787972856576,0.24457427876636598,0.10049374752417953,0.3651862518566286,0.05295819538805671,0.4857982249468913,0.03338340988885977,0.17086696187787212,Normal_6_range100-flw1-rtt,N,N
14,0.7730777977009231,0.04379495699722641,0.1366745591235049,0.0909587568403933,0.0568293324104331,0.1381225566835602,0.028948507458662724,0.19202404221860808,0.023309271681978314,0.232450156369894,Normal_6_range100-flw2-rtt,N,N
3,0.3694904311485708,0.06333333333333332,0.1347166311775862,0.12999999999999998,0.042511432234834175,0.2233333333333333,0.03933615790450377,0.27,0.03714449198439984,0.43,TCP_Congestion_0_range100-flw0-rtt,T,N
4,0.2835015470128425,0.20540253796049354,0.1272450993496714,0.34682723622837436,0.09319554928213297,0.2794821418150978,0.06828089343072641,0.07744685857526806,0.058923700661734524,1.1145613125397271,TCP_Congestion_0_range100-flw1-rtt,T,T
5,0.2040324349654924,0.19844084022811548,0.17962206541982076,0.15135318322483385,0.12894956015901005,0.2858893460913528,0.12155264035973533,0.3397038112379604,0.08242443446829843,0.05045106107494462,TCP_Congestion_0_range100-flw2-rtt,T,T
18,0.3480087637492762,0.21,0.16033582763850587,0.04333333333333333,0.07574902321880395,0.12999999999999998,0.07484853738085556,0.08333333333333331,0.042997586029696604,0.29,TCP_Congestion_3_range100-flw0-rtt,T,T
19,0.33307771022951943,0.21165241982715527,0.1389801526016023,0.043674308853222515,0.08178928319079123,0.09742730436488099,0.04808191163475974,0.12430380212071022,0.03799484838794776,0.4602600240685757,TCP_Congestion_3_range100-flw1-rtt,T,T
20,0.28059072254426753,0.21223709929425102,0.13604638756206586,0.06400801407286935,0.08593635755846835,0.11117181391603626,0.05681618484487207,0.25266321344553694,0.05075521302017446,0.2930893275968228,TCP_Congestion_3_range100-flw2-rtt,T,T
21,0.26013705812391713,0.48333333333333334,0.04154635779095421,0.4033333333333333,0.038518134956566134,0.18999999999999997,0.03790466594311357,1.0233333333333334,0.03532309484631903,0.37666666666666665,TCP_Congestion_8_range100-flw0-rtt,T,T
22,0.2554387355949819,0.4864501328394667,0.04720240212846449,0.5334177318722428,0.04651144474028541,0.4059342487832791,0.04624057677268503,1.0366420072234155,0.04161531420740167,0.11070934057725794,TCP_Congestion_8_range100-flw1-rtt,T,T
23,0.20907276647864473,0.48074041285112584,0.09417950193897243,0.1311110216866707,0.07678298195705452,0.05715095817111286,0.06123482454990733,0.2050710852022285,0.04875177435047633,0.33954392795778815,TCP_Congestion_8_range100-flw2-rtt,T,T
